name,lived_in,type,taxonomy,species,period_name,period_start,period_end,named,named_year,length_meters,continent_AF,continent_AQ,continent_AS,continent_EU,continent_NA,continent_OC,continent_SA,diet_carnivorous,diet_herbivorous,diet_omnivorous,diet_unknown
aardonyx,South Africa,sauropod,Dinosauria Saurischia Sauropodomorpha Prosauropoda Anchisauria,celestae,Early Jurassic,199.0,189.0,Yates Bonnan Neveling Chinsamy and Blackbeard,2010.0,8.0,True,False,False,False,False,False,False,False,True,False,False
abelisaurus,Argentina,large theropod,Dinosauria Saurischia Theropoda Neotheropoda Ceratosauria Neoceratosauria Abelisauridae Abelisaurinae,comahuensis,Late Cretaceous,74.0,70.0,Bonaparte and Novas,1985.0,9.0,False,False,False,False,False,False,True,True,False,False,False
achelousaurus,USA,ceratopsian,Dinosauria Ornithischia Genasauria Cerapoda Marginocephalia Ceratopsia Neoceratopsia Coronosauria Ceratopsidae Centrosaurinae,horneri,Late Cretaceous,83.0,70.0,Sampson,1995.0,6.0,False,False,False,False,True,False,False,False,True,False,False
achillobator,Mongolia,large theropod,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Paraves Eumaniraptora Dromaeosauridae,giganteus,Late Cretaceous,99.0,84.0,Perle Norell and Clark,1999.0,5.0,False,False,True,False,False,False,False,True,False,False,False
acrocanthosaurus,USA,large theropod,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Carnosauria Allosauroidea Carcharodontosauridae,atokensis,Early Cretaceous,115.0,105.0,Stovall and Langston,1950.0,12.0,False,False,False,False,True,False,False,True,False,False,False
aegyptosaurus,Egypt,sauropod,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Neosauropoda Macronaria Camarasauromorpha Titanosauriformes Titanosauria,baharijensis,Late Cretaceous,98.0,93.0,Stromer,1932.0,15.0,True,False,False,False,False,False,False,False,True,False,False
afrovenator,Niger,large theropod,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Spinosauroidea Megalosauridae Eustreptospondylinae,abakensis,Early Cretaceous,132.0,121.0,Sereno Wilson Larsson Dutheil and Sues,1944.0,9.0,True,False,False,False,False,False,False,True,False,False,False
agilisaurus,China,euornithopod,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda,louderbacki,Late Jurassic,169.0,159.0,Peng,1990.0,1.5,False,False,True,False,False,False,False,False,True,False,False
alamosaurus,USA,sauropod,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Neosauropoda Macronaria Camarasauromorpha Titanosauriformes Titanosauria Lithostrotia,sanjuanensis,Late Cretaceous,70.0,65.0,Gilmore,1922.0,21.0,False,False,False,False,True,False,False,False,True,False,False
albertaceratops,USA,ceratopsian,Dinosauria Ornithischia,nesmoi,Late Cretaceous,80.0,75.0,Ryan,2007.0,7.0,False,False,False,False,True,False,False,False,True,False,False
albertosaurus,Canada,large theropod,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Tyrannosauroidea Tyrannosauridae Albertosaurinae,libratus,Late Cretaceous,76.0,74.0,Lamb,1914.0,9.0,False,False,False,False,True,False,False,True,False,False,False
alectrosaurus,Mongolia,large theropod,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Tyrannosauroidea,olseni,Late Cretaceous,90.0,70.0,Gilmore,1933.0,5.0,False,False,True,False,False,False,False,True,False,False,False
alioramus,Mongolia,large theropod,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Tyrannosauroidea,remotus,Late Cretaceous,71.0,65.0,Kurzanov,1976.0,6.0,False,False,True,False,False,False,False,True,False,False,False
allosaurus,USA,large theropod,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Carnosauria Allosauroidea Allosauridae,fragilis,Late Jurassic,156.0,144.0,Marsh,1877.0,12.0,False,False,False,False,True,False,False,True,False,False,False
alvarezsaurus,Argentina,small theropod,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Alvarezsauridae,calvoi,Late Cretaceous,89.0,85.0,Bonaparte,1991.0,2.0,False,False,False,False,False,False,True,True,False,False,False
amargasaurus,Argentina,sauropod,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Neosauropoda Diplodocoidea Dicraeosauridae,cazaui,Early Cretaceous,132.0,127.0,Salgado and Bonaparte,1991.0,12.0,False,False,False,False,False,False,True,False,True,False,False
ammosaurus,USA,sauropod,Dinosauria Saurischia Sauropodomorpha Prosauropoda Anchisauria Anchisauridae,major,Early Jurassic,195.0,180.0,Marsh,1891.0,5.0,False,False,False,False,True,False,False,False,True,False,False
ampelosaurus,France,sauropod,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Neosauropoda Macronaria Camarasauromorpha Titanosauriformes Titanosauria Lithostrotia,atacis,Late Cretaceous,71.0,65.0,Le Loeuff,1995.0,15.0,False,False,False,True,False,False,False,False,True,False,False
amygdalodon,Argentina,sauropod,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda,patagonicus,Mid Jurassic,177.0,169.0,Cabrera,1947.0,15.0,False,False,False,False,False,False,True,False,True,False,False
anchiceratops,Canada,ceratopsian,Dinosauria Ornithischia Genasauria Cerapoda Marginocephalia Ceratopsia Neoceratopsia Coronosauria Ceratopsidae Chasmosaurinae,ornatus,Late Cretaceous,74.0,70.0,Brown,1914.0,6.0,False,False,False,False,True,False,False,False,True,False,False
anchisaurus,USA,sauropod,Dinosauria Saurischia Sauropodomorpha Prosauropoda Anchisauria Anchisauridae,polyzelous,Early Jurassic,190.0,190.0,Marsh,1885.0,2.0,False,False,False,False,True,False,False,False,True,False,False
ankylosaurus,USA,armoured dinosaur,Dinosauria Ornithischia Genasauria Thyreophora Ankylosauromorpha Ankylosauria Ankylosauridae,magniventris,Late Cretaceous,74.0,67.0,Brown,1908.0,7.0,False,False,False,False,True,False,False,False,True,False,False
anserimimus,Mongolia,large theropod,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Ornithomimosauria Ornithomimidae,planinychus,Late Cretaceous,84.0,65.0,Barsbold,1988.0,3.5,False,False,True,False,False,False,False,True,False,False,False
antarctosaurus,Uruguay,sauropod,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Neosauropoda Macronaria Camarasauromorpha Titanosauriformes Titanosauria Lithostrotia,wichmannianus,Late Cretaceous,84.0,65.0,von Huene,1929.0,18.0,False,False,False,False,False,False,True,False,True,False,False
apatosaurus,USA,sauropod,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Neosauropoda Diplodocoidea Diplodocidae,ajax,Late Jurassic,154.0,145.0,Marsh,1877.0,21.0,False,False,False,False,True,False,False,False,True,False,False
aragosaurus,Spain,sauropod,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda,ischiadicus,Early Cretaceous,132.0,121.0,Sanz Buscalioni Casanovas and Sanafé,1987.0,18.0,False,False,False,True,False,False,False,False,True,False,False
aralosaurus,Kazakhstan,euornithopod,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia Euiguanadontia Dryomorpha Ankylopollexia Iguanodontoidea Hadrosauridae Euhadrosauria Hadrosaurinae,tuberiferus,Late Cretaceous,94.0,84.0,Rozhdestvensky,1968.0,8.0,False,False,True,False,False,False,False,False,True,False,False
archaeoceratops,China,ceratopsian,Dinosauria Ornithischia Genasauria Cerapoda Marginocephalia Ceratopsia Neoceratopsia,oshimai,Early Cretaceous,121.0,99.0,Dong and Azuma,1987.0,1.3,False,False,True,False,False,False,False,False,True,False,False
archaeopteryx,Germany,small theropod,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Paraves Eumaniraptoria Avialae Archaeopterygidae,lithographica,Late Jurassic,147.0,147.0,Mayer,1861.0,0.5,False,False,False,True,False,False,False,True,False,False,False
archaeornithomimus,Uzbekistan,small theropod,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Ornithomimosauria Ornithomimidae,asiaticus,Late Cretaceous,95.0,70.0,Russell,1972.0,3.5,False,False,True,False,False,False,False,True,False,False,False
argentinosaurus,Argentina,sauropod,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Neosauropoda Macronaria Camarasauromorpha Titanosauriformes Titanosauria,huinculensis,Late Cretaceous,90.0,90.0,Bonaparte and Coria,1993.0,35.0,False,False,False,False,False,False,True,False,True,False,False
arrhinoceratops,Canada,ceratopsian,Dinosauria Ornithischia Genasauria Cerapoda Marginocephalia Ceratopsia Neoceratopsia Coronosauria Ceratopsidae Chasmosaurinae,brachyops,Late Cretaceous,72.0,67.0,Parks,1925.0,6.0,False,False,False,False,True,False,False,False,True,False,False
atlascopcosaurus,Australia,euornithopod,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda,loadsi,Early Cretaceous,121.0,97.0,Rich and Rich,1989.0,3.0,False,False,False,False,False,True,False,False,True,False,False
aucasaurus,Argentina,large theropod,Dinosauria Saurischia Theropoda Neotheropoda Ceratosauria Neoceratosauria Abelisauroidea Abelisauria,garridoi,Late Cretaceous,84.0,71.0,Coria Chiappe and Dingus,2002.0,5.0,False,False,False,False,False,False,True,True,False,False,False
austrosaurus,Australia,sauropod,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Neosauropoda Macronaria Camarasauromorpha Titanosauriformes Titanosauria,mckillopi,Early Cretaceous,112.0,99.0,Longman,1933.0,15.0,False,False,False,False,False,True,False,False,True,False,False
avaceratops,USA,ceratopsian,Dinosauria Ornithischia Genasauria Cerapoda Marginocephalia Ceratopsia Neoceratopsia Coronosauria Ceratopsidae Centrosaurinae,lammersi,Late Cretaceous,80.0,75.0,Dodson,1986.0,2.3,False,False,False,False,True,False,False,False,True,False,False
avimimus,Mongolia,small theropod,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Oviraptorosauria Avimimidae,portentosus,Late Cretaceous,80.0,75.0,Kurzanov,1981.0,1.5,False,False,True,False,False,False,False,False,False,True,False
bactrosaurus,China,euornithopod,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia Euiguanadontia Dryomorpha Ankylopollexia Iguanodontoidea Hadrosauridae,johnsoni,Late Cretaceous,84.0,71.0,Gilmore,1933.0,6.0,False,False,True,False,False,False,False,False,True,False,False
bagaceratops,Mongolia,ceratopsian,Dinosauria Ornithischia Genasauria Cerapoda Marginocephalia Ceratopsia Neoceratopsia Bagaceratopsidae,rozhdestvenskyi,Late Cretaceous,85.0,80.0,Maryanska and Osmolska,1975.0,1.0,False,False,True,False,False,False,False,False,True,False,False
bambiraptor,USA,small theropod,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Paraves Eumaniraptora Dromaeosauridae,feinbergorum,Late Cretaceous,84.0,71.0,Burnham Derstler Currie Bakker Zhou and Ostrom,2000.0,1.0,False,False,False,False,True,False,False,True,False,False,False
barapasaurus,India,sauropod,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Cetiosauridae,tagorei,Early Jurassic,185.0,170.0,Jain Kutty Roy-Chowdhury and Chatterjee,1975.0,14.0,False,False,True,False,False,False,False,False,True,False,False
barosaurus,USA,sauropod,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Neosauropoda Diplodocoidea Diplodocidae,lentus,Late Jurassic,155.0,145.0,Marsh,1890.0,24.0,False,False,False,False,True,False,False,False,True,False,False
baryonyx,United Kingdom,large theropod,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Spinosauroidea Spinosauridae Baryonychinae,walkeri,Early Cretaceous,125.0,125.0,Charig and Milner,1987.0,10.0,False,False,False,True,False,False,False,True,False,False,False
becklespinax,United Kingdom,large theropod,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae,altispinax,Early Cretaceous,142.0,132.0,Paul,1988.0,5.0,False,False,False,True,False,False,False,True,False,False,False
beipiaosaurus,China,small theropod,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Therizinosauroidea,inexpectus,Early Cretaceous,127.0,121.0,Xu Tang and Wang,1999.0,2.0,False,False,True,False,False,False,False,False,False,True,False
bellusaurus,China,sauropod,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Neosauropoda Macronaria,sui,Mid Jurassic,180.0,159.0,Dong and Azuma,1990.0,5.0,False,False,True,False,False,False,False,False,True,False,False
