continent_AF,continent_AQ,continent_AS,continent_EU,continent_NA,continent_OC,continent_SA,diet_carnivorous,diet_herbivorous,diet_omnivorous,diet_unknown,length_meters,avg_yr
1,0,0,0,0,0,0,0,1,0,0,8.0,194.0
0,0,0,0,0,0,1,1,0,0,0,9.0,72.0
0,0,0,0,1,0,0,0,1,0,0,6.0,76.5
0,0,1,0,0,0,0,1,0,0,0,5.0,91.5
0,0,0,0,1,0,0,1,0,0,0,12.0,110.0
1,0,0,0,0,0,0,0,1,0,0,15.0,95.5
1,0,0,0,0,0,0,1,0,0,0,9.0,126.5
0,0,1,0,0,0,0,0,1,0,0,1.5,164.0
0,0,0,0,1,0,0,0,1,0,0,21.0,67.5
0,0,0,0,1,0,0,0,1,0,0,7.0,77.5
0,0,0,0,1,0,0,1,0,0,0,9.0,75.0
0,0,1,0,0,0,0,1,0,0,0,5.0,80.0
0,0,1,0,0,0,0,1,0,0,0,6.0,68.0
0,0,0,0,1,0,0,1,0,0,0,12.0,150.0
0,0,0,0,0,0,1,1,0,0,0,2.0,87.0
0,0,0,0,0,0,1,0,1,0,0,12.0,129.5
0,0,0,0,1,0,0,0,1,0,0,5.0,187.5
0,0,0,1,0,0,0,0,1,0,0,15.0,68.0
0,0,0,0,0,0,1,0,1,0,0,15.0,173.0
0,0,0,0,1,0,0,0,1,0,0,6.0,72.0
0,0,0,0,1,0,0,0,1,0,0,2.0,190.0
0,0,0,0,1,0,0,0,1,0,0,7.0,70.5
0,0,1,0,0,0,0,1,0,0,0,3.5,74.5
0,0,0,0,0,0,1,0,1,0,0,18.0,74.5
0,0,0,0,1,0,0,0,1,0,0,21.0,149.5
0,0,0,1,0,0,0,0,1,0,0,18.0,126.5
0,0,1,0,0,0,0,0,1,0,0,8.0,89.0
0,0,1,0,0,0,0,0,1,0,0,1.3,110.0
0,0,0,1,0,0,0,1,0,0,0,0.5,147.0
0,0,1,0,0,0,0,1,0,0,0,3.5,82.5
0,0,0,0,0,0,1,0,1,0,0,35.0,90.0
0,0,0,0,1,0,0,0,1,0,0,6.0,69.5
0,0,0,0,0,1,0,0,1,0,0,3.0,109.0
0,0,0,0,0,0,1,1,0,0,0,5.0,77.5
0,0,0,0,0,1,0,0,1,0,0,15.0,105.5
0,0,0,0,1,0,0,0,1,0,0,2.3,77.5
0,0,1,0,0,0,0,0,0,1,0,1.5,77.5
0,0,1,0,0,0,0,0,1,0,0,6.0,77.5
0,0,1,0,0,0,0,0,1,0,0,1.0,82.5
0,0,0,0,1,0,0,1,0,0,0,1.0,77.5
0,0,1,0,0,0,0,0,1,0,0,14.0,177.5
0,0,0,0,1,0,0,0,1,0,0,24.0,150.0
0,0,0,1,0,0,0,1,0,0,0,10.0,125.0
0,0,0,1,0,0,0,1,0,0,0,5.0,137.0
0,0,1,0,0,0,0,0,0,1,0,2.0,124.0
0,0,1,0,0,0,0,0,1,0,0,5.0,169.5
0,0,1,0,0,0,0,1,0,0,0,1.5,74.5
0,0,0,0,1,0,0,0,1,0,0,30.0,147.5
0,0,0,0,1,0,0,0,1,0,0,7.0,88.5
0,0,0,0,0,0,1,0,1,0,0,10.0,150.0
0,0,0,0,0,0,1,1,0,0,0,1.3,94.5
0,0,0,0,1,0,0,0,1,0,0,23.0,145.0
0,0,0,0,1,0,0,0,1,0,0,5.0,150.0
0,0,0,0,0,0,1,1,0,0,0,15.0,96.0
0,0,0,0,0,0,1,1,0,0,0,7.6,70.0
0,0,1,0,0,0,0,0,0,1,0,1.0,123.5
0,0,0,0,1,0,0,0,1,0,0,10.0,134.5
0,0,0,0,1,0,0,1,0,0,0,6.0,150.5
0,0,0,1,0,0,0,0,1,0,0,15.0,167.5
0,0,0,1,0,0,0,0,1,0,0,18.0,165.0
0,0,1,0,0,0,0,0,1,0,0,1.1,148.5
0,0,0,0,1,0,0,1,0,0,0,4.0,218.5
0,0,1,0,0,0,0,0,1,0,0,11.0,150.5
0,0,0,0,1,0,0,0,0,1,0,1.7,73.0
0,0,0,0,0,0,1,0,1,0,0,23.0,105.5
0,0,1,0,0,0,0,0,1,0,0,4.0,150.5
0,0,1,0,0,0,0,0,0,1,0,2.1,78.0
0,0,0,0,1,0,0,1,0,0,0,1.8,150.0
0,0,0,0,0,0,1,0,0,1,0,4.0,215.5
0,0,0,1,0,0,0,1,0,0,0,0.65,142.5
0,0,1,0,0,0,0,1,0,0,0,1.5,78.5
0,0,1,0,0,0,0,1,0,0,0,0.25,124.0
0,0,0,0,1,0,0,0,1,0,0,10.0,75.0
0,1,0,0,0,0,0,1,0,0,0,8.0,170.0
0,0,0,1,0,0,0,0,1,0,0,6.0,152.0
0,0,0,0,1,0,0,1,0,0,0,9.0,75.0
0,0,1,0,0,0,0,0,1,0,0,15.0,170.0
0,0,1,0,0,0,0,0,0,1,0,10.0,68.0
0,0,0,0,1,0,0,1,0,0,0,3.0,115.0
1,0,0,0,0,0,0,1,0,0,0,8.1,96.5
1,0,0,0,0,0,0,0,1,0,0,20.0,142.5
0,0,0,0,1,0,0,0,1,0,0,26.0,150.0
0,0,0,0,1,0,0,1,0,0,0,1.8,75.0
0,0,0,0,1,0,0,0,0,1,0,3.5,72.0
0,0,0,0,1,0,0,0,1,0,0,4.0,147.5
0,0,0,0,1,0,0,1,0,0,0,6.4,74.5
0,0,0,0,1,0,0,0,1,0,0,4.0,75.0
0,0,0,0,1,0,0,0,1,0,0,13.0,70.5
0,0,0,0,1,0,0,0,1,0,0,6.0,74.0
1,0,0,0,0,0,0,1,0,0,0,6.2,152.5
0,0,0,1,0,0,0,0,1,0,0,2.0,185.0
0,0,0,0,0,0,1,1,0,0,0,1.0,228.0
0,0,0,1,0,0,0,1,0,0,0,5.0,124.0
0,0,1,0,0,0,0,0,0,1,0,3.4,94.0
0,0,1,0,0,0,0,0,1,0,0,10.0,148.0
0,0,0,1,0,0,0,0,1,0,0,6.2,152.5
0,0,0,1,0,0,0,1,0,0,0,7.0,165.0
0,0,1,0,0,0,0,1,0,0,0,4.2,110.0
0,0,1,0,0,0,0,0,1,0,0,4.7,110.0
0,0,1,0,0,0,0,0,0,1,0,6.0,72.0
0,0,0,0,1,0,0,0,1,0,0,4.0,148.0
0,0,1,0,0,0,0,0,0,1,0,4.7,94.0
0,0,1,0,0,0,0,1,0,0,0,4.0,165.0
0,0,0,0,0,0,1,0,1,0,0,0.8,78.5
0,0,0,0,1,0,0,0,1,0,0,4.6,134.5
0,0,0,0,0,0,1,1,0,0,0,12.5,101.0
0,0,1,0,0,0,0,0,1,0,0,6.0,73.0
1,0,0,0,0,0,0,0,1,0,0,23.0,148.0
0,0,1,0,0,0,0,0,1,0,0,5.0,110.0
0,0,0,0,1,0,0,1,0,0,0,8.6,76.5
0,0,1,0,0,0,0,0,1,0,0,2.0,78.0
0,0,0,0,1,0,0,0,1,0,0,10.0,78.5
0,0,0,0,0,0,1,0,1,0,0,1.8,215.5
0,0,1,0,0,0,0,1,0,0,0,3.0,156.5
0,0,0,0,1,0,0,0,1,0,0,9.0,76.0
0,0,0,0,1,0,0,0,1,0,0,21.5,148.0
0,0,1,0,0,0,0,0,0,1,0,2.0,110.0
0,0,0,0,0,0,1,1,0,0,0,3.0,228.0
0,0,0,0,1,0,0,0,1,0,0,6.0,148.0
1,0,0,0,0,0,0,0,1,0,0,1.2,205.0
0,0,1,0,0,0,0,0,0,1,0,2.0,70.0
0,0,1,0,0,0,0,0,1,0,0,1.5,70.0
0,0,1,0,0,0,0,0,1,0,0,4.5,165.0
0,0,0,1,0,0,0,0,1,0,0,5.0,142.5
0,0,0,0,1,0,0,0,1,0,0,9.0,70.0
0,0,0,1,0,0,0,0,1,0,0,2.3,125.0
0,0,0,1,0,0,0,0,1,0,0,10.0,125.0
0,0,1,0,0,0,0,1,0,0,0,7.0,68.0
0,0,0,0,0,0,1,1,0,0,0,6.5,105.5
1,0,0,0,0,0,0,0,1,0,0,20.0,152.5
0,0,1,0,0,0,0,0,1,0,0,9.0,89.0
0,0,1,0,0,0,0,0,1,0,0,5.0,197.5
1,0,0,0,0,0,0,0,1,0,0,21.0,113.0
0,0,0,1,0,0,0,1,0,0,0,0.8,152.5
1,0,0,0,0,0,0,0,1,0,0,5.0,152.5
0,0,1,0,0,0,0,0,0,1,0,1.8,78.0
0,0,1,0,0,0,0,0,1,0,0,9.0,192.5
0,0,0,0,1,0,0,0,1,0,0,8.0,76.0
0,0,0,0,1,0,0,0,1,0,0,9.0,75.0
0,0,0,0,0,1,0,0,1,0,0,2.0,112.5
0,0,0,0,1,0,0,0,1,0,0,3.0,66.0
0,0,0,0,0,0,1,0,1,0,0,24.0,110.0
0,0,0,1,0,0,0,1,0,0,0,5.0,203.5
0,0,0,0,1,0,0,0,1,0,0,4.5,77.5
0,0,0,1,0,0,0,1,0,0,0,6.2,199.5
0,0,1,0,0,0,0,0,1,0,0,6.0,197.5
1,0,0,0,0,0,0,0,1,0,0,9.0,116.5
1,0,0,0,0,0,0,0,1,0,0,1.2,200.0
0,0,0,1,0,0,0,0,1,0,0,5.0,68.0
0,0,0,0,1,0,0,0,1,0,0,9.0,77.5
1,0,0,0,0,0,0,1,0,0,0,6.0,77.5
1,0,0,0,0,0,0,0,1,0,0,9.0,116.5
0,0,1,0,0,0,0,0,1,0,0,22.0,150.0
0,0,0,0,0,0,1,1,0,0,0,13.0,96.5
0,0,0,0,1,0,0,1,0,0,0,6.0,148.0
1,0,0,0,0,0,0,1,0,0,0,2.0,77.5
1,0,0,0,0,0,0,0,0,1,0,4.0,206.0
0,0,0,0,0,0,1,0,1,0,0,13.0,80.0
0,0,0,1,0,0,0,1,0,0,0,9.0,162.5
1,0,0,0,0,0,0,0,0,1,0,12.0,224.0
0,0,0,1,0,0,0,1,0,0,0,8.2,156.5
0,0,1,0,0,0,0,0,1,0,0,0.5,76.0
0,0,1,0,0,0,0,0,1,0,0,0.6,77.5
0,0,1,0,0,0,0,1,0,0,0,0.8,123.5
0,0,0,0,0,1,0,0,1,0,0,3.0,116.5
0,0,1,0,0,0,0,1,0,0,0,5.7,169.5
0,0,1,0,0,0,0,0,0,0,1,1.0,74.5
0,0,0,0,0,0,1,0,1,0,0,3.0,215.5
0,0,0,0,0,1,0,0,1,0,0,7.0,105.0
0,0,1,0,0,0,0,0,0,1,0,4.4,77.5
0,0,0,0,1,0,0,0,1,0,0,7.0,66.0
0,0,1,0,0,0,0,0,1,0,0,13.0,70.0
0,0,0,1,0,0,0,1,0,0,0,7.4,124.0
0,0,0,0,0,0,1,0,1,0,0,10.0,68.0
1,0,0,0,0,0,0,0,1,0,0,15.0,110.0
0,0,0,0,0,0,1,1,0,0,0,1.0,74.5
0,0,0,0,1,0,0,0,1,0,0,5.0,105.0
0,0,1,0,0,0,0,0,0,1,0,1.6,70.0
0,0,0,0,1,0,0,0,0,1,0,5.3,91.5
1,0,0,0,0,0,0,1,0,0,0,1.0,145.5
0,0,1,0,0,0,0,0,1,0,0,20.0,164.0
0,0,1,0,0,0,0,0,1,0,0,12.0,70.0
0,0,0,0,1,0,0,1,0,0,0,2.0,147.0
0,0,0,0,1,0,0,0,0,1,0,4.0,69.5
0,0,0,0,1,0,0,0,1,0,0,2.0,74.0
0,0,0,0,1,0,0,0,1,0,0,2.1,96.5
0,0,0,0,1,0,0,0,1,0,0,1.4,148.0
1,0,0,0,0,0,0,0,1,0,0,7.0,107.5
0,0,1,0,0,0,0,0,0,1,0,2.0,80.0
0,0,0,0,1,0,0,0,1,0,0,8.0,70.5
0,0,0,0,1,0,0,0,1,0,0,6.0,75.0
0,0,0,0,1,0,0,0,1,0,0,7.0,77.0
1,0,0,0,0,0,0,0,1,0,0,28.0,96.5
0,0,0,0,1,0,0,0,1,0,0,11.0,75.0
0,0,0,0,1,0,0,0,1,0,0,3.0,75.0
0,0,0,0,0,0,1,0,1,0,0,18.0,161.5
0,0,0,1,0,0,0,1,0,0,0,2.0,124.0
0,0,0,1,0,0,0,0,1,0,0,25.0,125.0
0,0,0,0,1,0,0,0,1,0,0,6.8,75.0
0,0,0,0,0,0,1,1,0,0,0,4.2,161.5
0,0,1,0,0,0,0,0,1,0,0,5.0,78.0
0,0,0,1,0,0,0,0,1,0,0,7.0,210.0
0,0,0,0,1,0,0,1,0,0,0,0.9,187.5
0,0,0,1,0,0,0,1,0,0,0,9.0,166.5
0,0,0,1,0,0,0,0,1,0,0,5.0,125.0
0,0,1,0,0,0,0,0,1,0,0,2.4,72.5
0,0,1,0,0,0,0,0,1,0,0,6.0,110.0
0,0,0,1,0,0,0,1,0,0,0,4.1,166.5
0,0,0,1,0,0,0,1,0,0,0,1.0,215.5
0,0,0,0,1,0,0,0,1,0,0,7.6,76.0
0,0,1,0,0,0,0,1,0,0,0,2.0,121.0
0,0,1,0,0,0,0,0,1,0,0,1.8,72.0
0,0,0,0,1,0,0,0,1,0,0,6.0,96.5
0,0,0,1,0,0,0,0,1,0,0,2.0,110.0
0,0,1,0,0,0,0,0,1,0,0,23.0,85.0
1,0,0,0,0,0,0,0,1,0,0,20.0,105.5
0,0,0,1,0,0,0,0,1,0,0,4.0,73.0
0,0,0,0,0,1,0,0,1,0,0,15.0,173.0
0,0,1,0,0,0,0,0,0,1,0,2.5,70.0
1,0,0,0,0,0,0,1,0,0,0,7.0,95.0
0,0,1,0,0,0,0,0,1,0,0,6.6,80.0
0,0,0,0,0,0,1,0,1,0,0,12.0,67.5
0,0,0,1,0,0,0,1,0,0,0,3.0,198.5
0,0,1,0,0,0,0,0,1,0,0,9.0,72.0
0,0,0,0,1,0,0,0,1,0,0,6.5,107.5
0,0,0,0,1,0,0,1,0,0,0,12.0,148.0
0,0,1,0,0,0,0,1,0,0,0,3.0,82.5
0,0,0,1,0,0,0,0,1,0,0,4.0,201.0
0,0,0,0,1,0,0,0,1,0,0,1.2,203.5
0,0,0,0,0,0,1,0,1,0,0,3.0,68.0
0,0,0,0,1,0,0,1,0,0,0,1.5,187.5
0,0,1,0,0,0,0,1,0,0,0,4.0,92.5
0,0,1,0,0,0,0,1,0,0,0,0.45,134.0
0,0,1,0,0,0,0,0,1,0,0,15.0,76.0
0,0,1,0,0,0,0,0,1,0,0,10.0,165.0
0,0,1,0,0,0,0,0,0,1,0,0.6,78.0
0,0,0,0,1,0,0,0,1,0,0,4.0,116.5
0,0,1,0,0,0,0,1,0,0,0,2.37,125.0
0,0,1,0,0,0,0,1,0,0,0,2.0,121.0
0,0,1,0,0,0,0,1,0,0,0,1.0,121.0
0,0,1,0,0,0,0,1,0,0,0,1.0,124.0
0,0,1,0,0,0,0,1,0,0,0,7.6,155.5
0,0,1,0,0,0,0,0,1,0,0,9.0,77.0
1,0,0,0,0,0,0,1,0,0,0,18.0,82.5
0,0,0,0,0,0,1,1,0,0,0,2.0,224.0
0,0,0,0,1,0,0,0,1,0,0,2.4,75.0
0,0,0,0,1,0,0,0,1,0,0,9.0,150.0
0,0,0,1,0,0,0,0,1,0,0,1.5,124.0
0,0,0,0,1,0,0,0,0,1,0,4.0,75.0
0,0,0,1,0,0,0,0,1,0,0,2.5,79.0
0,0,0,0,1,0,0,0,1,0,0,5.5,73.0
1,0,0,0,0,0,0,1,0,0,0,11.0,116.5
0,0,0,0,1,0,0,0,1,0,0,35.0,148.0
0,0,1,0,0,0,0,0,1,0,0,6.0,94.0
0,0,1,0,0,0,0,1,0,0,0,10.0,72.0
