name,lived_in,type,taxonomy,species,period_name,period_start,period_end,named,named_year,length_meters,continent_AF,continent_AQ,continent_AS,continent_EU,continent_NA,continent_OC,continent_SA,diet_carnivorous,diet_herbivorous,diet_omnivorous,diet_unknown
ankylosaurus,USA,armoured dinosaur,Dinosauria Ornithischia Genasauria Thyreophora Ankylosauromorpha Ankylosauria Ankylosauridae,magniventris,Late Cretaceous,74.0,67.0,Brown,1908.0,7.0,False,False,False,False,True,False,False,False,True,False,False
brachiosaurus,USA,sauropod,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Neosauropoda Macronaria Camarasauromorpha Titanosauriformes Brachiosauridae,altithorax,Late Jurassic,155.0,140.0,Riggs,1903.0,30.0,False,False,False,False,True,False,False,False,True,False,False
compsognathus,Germany,small theropod,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Compsognathidae,longipes,Late Jurassic,145.0,140.0,Wagner,1859.0,0.65,False,False,False,True,False,False,False,True,False,False,False
corythosaurus,USA,euornithopod,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia Euiguanadontia Dryomorpha Ankylopollexia Iguanodontoidea Hadrosauridae Euhadrosauria Lambeosaurinae,casuarius,Late Cretaceous,76.0,74.0,Brown,1914.0,10.0,False,False,False,False,True,False,False,False,True,False,False
gallimimus,Mongolia,large theropod,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Ornithomimosauria Ornithomimidae,bullatus,Late Cretaceous,74.0,70.0,Osmólska Roniewicz and Barsbold,1972.0,6.0,False,False,True,False,False,False,False,False,False,True,False
microceratus,Mongolia,ceratopsian,Dinosauria Ornithischia Genasauria Cerapoda Marginocephalia Ceratopsia Neoceratopsia Coronosauria,gobiensis,Late Cretaceous,86.0,66.0,Bohlin,1953.0,0.5,False,False,True,False,False,False,False,False,True,False,False
pachycephalosaurus,USA,euornithopod,Dinosauria Ornithischia Genasauria Cerapoda Marginocephalia Pachycephalosauria Goyocephala Homalocephaloidea Pachycephalosauridae,wyomingensis,Late Cretaceous,76.0,65.0,Brown and Schlaikjer,1943.0,8.0,False,False,False,False,True,False,False,False,True,False,False
parasaurolophus,USA,euornithopod,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia Euiguanadontia Dryomorpha Ankylopollexia Iguanodontoidea Hadrosauridae Euhadrosauria Lambeosaurinae,walkeri,Late Cretaceous,76.0,74.0,Parks,1922.0,11.0,False,False,False,False,True,False,False,False,True,False,False
spinosaurus,Morocco,large theropod,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Spinosauroidea Spinosauridae Spinosaurinae,aegyptiacus,Late Cretaceous,95.0,70.0,Stromer,1915.0,18.0,True,False,False,False,False,False,False,True,False,False,False
stegosaurus,USA,armoured dinosaur,Dinosauria Ornithischia Genasauria Thyreophora Stegosauria Stegosauridae Stegosaurinae,armatus,Late Jurassic,155.0,145.0,Marsh,1877.0,9.0,False,False,False,False,True,False,False,False,True,False,False
triceratops,USA,ceratopsian,Dinosauria Ornithischia Genasauria Cerapoda Marginocephalia Ceratopsia Neoceratopsia Coronosauria Ceratopsidae Chasmosaurinae,horridus,Late Cretaceous,68.0,66.0,Marsh,1889.0,9.0,False,False,False,False,True,False,False,False,True,False,False
tyrannosaurus,USA,large theropod,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Tyrannosauroidea Tyrannosauridae Tyrannosaurinae,rex,Late Cretaceous,68.0,66.0,Osborn,1905.0,12.0,False,False,False,False,True,False,False,True,False,False,False
velociraptor,Mongolia,small theropod,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Paraves Eumaniraptora Dromaeosauridae,mongoliensis,Late Cretaceous,74.0,70.0,Osborn,1924.0,1.8,False,False,True,False,False,False,False,True,False,False,False
